colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
ACR-220,Coral,NA,3.7848,4.4784,
POC-222,Coral,NA,14.9602,16.1381,
POC-239,Coral,NA,10.032,10.9075,
POC-248,Coral,NA,20.1353,21.9104,
POC-255,Coral,NA,15.358,16.7589,
POR-240,Coral,NA,3.7084,3.8819,
POR-221,Coral,NA,4.7809,4.9508,
ACR-237,Coral,NA,4.8848,5.8073,
ACR-234,Coral,NA,6.183,6.9676,
POC-359,Coral,NA,24.1937,26.2461,
POC-257,Coral,NA,10.3257,11.333,
ACR-213,Coral,NA,3.223,3.8446,
ACR-256,Coral,NA,18.9022,20.288,
ACR-229,Coral,NA,3.7476,4.2747,
POR-245,Coral,NA,10.3903,10.7175,
POR-214,Coral,NA,6.2711,6.5112,
POR-262,Coral,NA,12.5819,12.8958,
POR-251,Coral,NA,4.0902,4.2782,
ACR-267,Coral,NA,3.4005,3.8514,
ACR-241,Coral,NA,4.0105,4.627,
ACR-218,Coral,NA,3.7686,4.4621,
ACR-375,Coral,NA,10.1235,10.7298,
POC-254,Coral,NA,19.1366,20.9851,
POR-216,Coral,NA,7.274,7.6704,
ACR-210,Coral,NA,3.6869,4.5208,
ACR-343,Coral,NA,12.1398,13.1195,
POR-224,Coral,NA,6.1573,6.4172,
POC-238,Coral,NA,24.3947,25.9851,
POR-260,Coral,NA,10.1906,10.5188,
POC-219,Coral,NA,19.6782,20.9128,
POC-358,Coral,NA,11.805,12.8064,
POR-252,Coral,NA,23.1128,23.7275,
POC-57,Coral,NA,22.2164,24.6216,
POC-369,Coral,NA,11.2928,12.3144,
POR-74,Coral,NA,17.1687,17.5348,
ACR-344,Coral,NA,3.4102,4.0948,
POR-357,Coral,NA,6.0343,6.3408,
ACR-389,Coral,NA,6.2224,6.604,
POC-44,Coral,NA,12.1467,13.4044,
POR-83,Coral,NA,26.1446,27.1999,
POR-76,Coral,NA,52.271,53.5816,
POR-70,Coral,NA,11.6472,12.0126,
POC-391,Coral,NA,29.715,32.074,
ACR-145,Coral,NA,8.7847,9.472,
POR-341,Coral,NA,15.9021,16.2968,
POR-384,Coral,NA,9.0867,9.3986,
POR-71,Coral,NA,10.1102,10.4667,
POC-205,Coral,NA,22.5862,24.0189,
ACR-187,Coral,NA,15.7038,16.6931,
ACR-175,Coral,NA,9.3572,10.043,
POC-45,Coral,NA,12.1469,13.2617,
POC-68,Coral,NA,12.9756,14.1647,
POR-79,Coral,NA,13.0636,13.6262,
POC-50,Coral,NA,20.198,21.6757,
POR-385,Coral,NA,13.0279,13.4157,
POC-43,Coral,NA,18.2346,19.8027,
POC-53,Coral,NA,17.6311,19.0103,
POR-349,Coral,NA,15.9538,16.4078,
POC-372,Coral,NA,20.022,21.762,
POC-375,Coral,NA,12.3431,13.7138,
ACR-186,Coral,NA,17.525,18.5417,
POR-209,Coral,NA,3.9287,4.2643,
ACR-178,Coral,NA,12.2136,13.0339,
POC-40,Coral,NA,18.8023,20.5866,
POC-42,Coral,NA,26.6578,28.7308,
POR-242,Coral,NA,8.8069,9.1864,
POR-381,Coral,NA,15.384,15.8058,
POC-47,Coral,NA,26.6695,28.4686,
POC-371,Coral,NA,12.618,25.4501,
POR-82,Coral,NA,23.8536,24.5687,
POR-73,Coral,NA,8.185,8.4685,
POC-207,Coral,NA,16.5703,17.6764,
POC-395,Coral,NA,13.6721,15.0363,
POR-338,Coral,NA,4.5307,4.7306,
POC-200,Coral,NA,12.483,13.5258,
POC-48,Coral,NA,21.3679,23.1448,
POR-340,Coral,NA,5.6612,5.8594,
POR-72,Coral,NA,12.0239,12.4074,
POC-259,Coral,NA,13.2035,15.2046,
ACR-180,Coral,NA,8.3612,9.0006,
POR-253,Coral,NA,4.0401,4.2031,
ACR-176,Coral,NA,23.8999,25.5511,
POR-69,Coral,NA,5.299,5.7494,
POC-346,Coral,NA,13.9546,15.2767,
ACR-185,Coral,NA,12.2872,13.0635,
POR-355,Coral,NA,8.0541,8.4066,
ACR-225,Coral,NA,3.4585,4.1606,
ACR-150,Coral,NA,8.0333,8.69,
POR-98,Coral,NA,12.947,13.4518,
POR-81,Coral,NA,7.278,7.5059,
ACR-139,Coral,NA,15.4202,16.1698,
POC-52,Coral,NA,19.8111,21.6378,
POR-555,Coral,NA,28.0808,29.905,
ACR-173,Coral,NA,10.3992,11.1419,
ACR-390,Coral,NA,9.024,9.7339,
POC-373,Coral,NA,32.6379,35.4056,
POR-383,Coral,NA,4.4778,4.6442,
POC-366,Coral,NA,28.728,30.4206,
POR-362,Coral,NA,8.4585,8.8088,
POC-377,Coral,NA,17.1205,18.5491,
POC-394,Coral,NA,19.0126,20.97,
POC-368,Coral,NA,27.1157,28.8924,
POC-386,Coral,NA,32.4952,34.1062,
Standard2,Standard,6.22,94.269,97.512,
Standard3,Standard,5.08,46.6225,48.3934,
Standard4,Standard,3.16,12.3568,13.0377,
Standard5,Standard,2.52,5.3749,5.7797,
Standard6,Standard,1.9,2.6171,2.806,
Standard7,Standard,1.18,0.529,0.5935,
