Plug.Number,Sample,Diameter,weight1.g,weight2.g,Notes
Standard1,Standard,7.44,131.083,136.923,
Standard2,Standard,7.22,87.885,91.279,
Standard3,Standard,5.08,49.6148,51.7698,
Standard4,Standard,3.16,12.0345,12.7127,
Standard5,Standard,2.52,5.3913,5.7946,
Standard6,Standard,1.9,2.6152,2.8279,
Standard7,Standard,1.18,0.5465,0.6042,
POR-209,Coral,NA,16.21,16.39,
POC-238,Coral,NA,10.7,11.32,
POC-259,Coral,NA,37.14,39.87,
ACR-258,Coral,NA,3.88,4.2,
POC-255,Coral,NA,16.82,18.3,
POC-217,Coral,NA,10.96,11.87,
POC-219,Coral,NA,10.66,11.58,
ACR-228,Coral,NA,6.46,6.98,
ACR-244,Coral,NA,2.51,2.75,
POR-221,Coral,NA,9.58,9.84,
POR-262,Coral,NA,47.14,48.36,
POR-266,Coral,NA,10.52,11.02,
POR-236,Coral,NA,5.74,5.97,
ACR-247,Coral,NA,4.11,4.47,
POR-235,Coral,NA,19.38,19.92,
ACR-267,Coral,NA,9.12,10.03,
POC-201,Coral,NA,14.67,15.92,
POC-239,Coral,NA,13.8,15.06,
POR-214,Coral,NA,1.57,1.66,
ACR-234,Coral,NA,6.03,6.63,
POC-254,Coral,NA,8.49,9.28,
POR-245,Coral,NA,7.08,7.44,
POR-242,Coral,NA,12.6,12.98,Double dipped
ACR-229,Coral,NA,4.73,5.15,Double dipped
POC-248,Coral,NA,6.67,7.07,Double dipped
ACR-256,Coral,NA,5.19,5.72,
ACR-243,Coral,NA,3.09,3.58,
ACR-TEST,Coral,NA,4.27,4.77,
POC-395,Coral,NA,10.3975,11.3584,
ACR-246,Coral,NA,9.3861,10.4466,
POR-216,Coral,NA,5.0058,5.132,
POC-371,Coral,NA,10.5514,11.5219,
POR-362,Coral,NA,41.885,42.5768,
ACR-231,Coral,NA,3.6585,4.1563,
POC-222,Coral,NA,11.5338,12.644,
ACR-389,Coral,NA,7.5126,8.061,
ACR-237,Coral,NA,3.7165,4.1805,
POC-207,Coral,NA,10.9676,11.8088,
ACR-350,Coral,NA,16.2574,17.4787,
POR-355,Coral,NA,20.1206,20.6612,
POC-377,Coral,NA,21.2241,23.0481,
ACR-393,Coral,NA,9.9696,10.6637,
POR-260,Coral,NA,30.2585,31.1425,
POC-200,Coral,NA,17.0828,18.2307,
POR-224,Coral,NA,7.0762,7.2867,
ACR-265,Coral,NA,8.6039,9.4072,
POC-205,Coral,NA,11.731,12.3731,
POR-353,Coral,NA,55.8705,56.6483,
POR-251,Coral,NA,22.3088,22.6636,
POR-253,Coral,NA,23.5029,24.1491,
POR-240,Coral,NA,11.3018,11.5143,
