colony_id,homog_vol_ml,note,date_airbrushed
test_1,34,,20200105
ACR-244,32,,20200105
ACR-256,25,,20200105
POR-235,70,,20200105
POC-248,32,,20200105
POC-255,38,,20200105
POR-236,18,bag broke and leaked - sample may not be representative,20200105
POC-201,38,small amount leaked from bag,20200105
ACR-228,32,,20200105
POC-254,81,bag broke and leaked - sample may not be representative,20200105
POC-239,50,,20200105
POR-214,27,,20200105
ACR-247,27,,20200105
POC-219,34,,20200105
POR-221,34,,20200105
POR-262,67,,20200105
POR-242,143.5,,20200105
ACR-243,37.5,,20200105
ACR-267,NA,"bag spilled, sample discarded",20200105
POC-238,30,,20200105
POR-266,34,,20200105
POR-245,25,,20200105
ACR-229,32,,20200105
POC-217,33,,20200105
ACR-258,33,,20200105
POC-259,43,,20200105
ACR-234,32,,20200105
POR-209,34,,20200105
POC-200,32,,20200107
POR-260,45,,20200107
ACR-237,23,,20200107
POC-207,27,,20200107
POC-222,44,,20200107
POR-224,34,,20200107
POR-253,157.5,,20200107
POR-362,47,,20200107
POC-395,35,,20200107
POC-377,40,,20200107
ACR-246,17,,20200107
POR-353,86,,20200107
ACR-393,44,,20200107
ACR-350,17,,20200107
ACR-231,49,,20200107
POC-371,37,,20200107
ACR-265,25,,20200107
POC-205,50,,20200107
POR-216,32,,20200107
POR-251,47,,20200107
ACR-389,40,,20200107
POR-355,68,,20200107
POR-240,50,,20200107
