Date,Run.Number,Start.Time,Stop.Time,Chamber,Channel,Position,Species,Fragment.ID,Plug.ID,Site,Vol.ml,pH.mV,Temp.C,Salinity,Surface.Area,TA.Start.Time,TA.Stop.Time,Notes
20200104,1,14:27,15:32,4,4,6,Acropora,ACR-247,ACR-247,2,615,NA,27.71,36.58,30,14:10,15:32,
20200104,1,14:27,15:32,6,6,3,Pocillopora,POC-219,POC-219,2,605,NA,28.04,36.62,30,14:18,15:42,
20200104,1,14:27,15:32,8,8,1,Porites,POR-242,POR-242,2,595,NA,27.97,36.5,30,14:13,15:46,
20200104,1,14:27,15:32,5,5,4,Acropora,ACR-243,ACR-243,2,620,NA,28.02,36.62,30,14:18,15:38,
20200104,1,14:27,15:32,10,10,5,BK,BK-1,BK-1,2,605,NA,28.21,36.73,30,14:17,15:36,
20200104,1,14:27,15:32,2,2,7,Porites,POR-262,POR-262,2,590,NA,27.88,36.59,30,14:11,15:48,
20200104,1,14:27,15:32,7,7,10,Porites,POR-214,POR-214,2,615,NA,27.95,36.6,30,14:19,15:52,
20200104,1,14:27,15:32,9,9,9,Porites,POR-221,POR-221,2,590,NA,27.92,36.62,30,14:18,15:50,
20200104,1,14:27,15:32,3,3,11,Pocillopora,POC-254,POC-254,2,615,NA,27.87,36.51,30,14:09,15:54,
20200104,1,14:27,15:32,1,1,12,Pocillopora,POC-239,POC-239,2,600,NA,27.83,36.57,30,14:16,15:56,
20200104,2,19:19,20:19,8,8,11,Acropora,ACR-256,ACR-256,2,610,NA,28.49,36.78,30,19:18,20:35,
20200104,2,19:19,20:19,3,3,10,Acropora,ACR-267,ACR-267,2,610,NA,28.38,36.8,30,19:19,20:33,
20200104,2,19:19,20:19,10,10,12,Acropora,ACR-244,ACR-244,2,605,NA,28.47,36.81,30,19:19,20:37,
20200104,2,19:19,20:19,4,4,7,Pocillopora,POC-248,POC-248,2,615,NA,28.44,36.69,30,19:14,20:29,
20200104,2,19:19,20:19,9,9,1,Pocillopora,POC-201,POC-201,2,605,NA,28.71,36.63,30,19:06,20:27,
20200104,2,19:19,20:19,5,5,4,Porites,POR-236,POR-236,2,615,NA,28.56,36.7,30,19:18,20:22,
20200104,1,19:19,20:19,2,2,3,Porites,POR-235,POR-235,2,610,NA,28.7,36.83,30,19:15,20:24,
20200104,2,19:19,20:19,7,7,9,Pocillopora,POC-255,POC-255,2,615,NA,28.47,36.63,30,19:18,20:31,
