Date,Sample.ID,Fragment.ID,Plug.Number,Chamber.Channel,Position,Bin.ID,Run,Species,Site,Fragment.Number,Sample.Type,Temp.Cat,Chamber.Vol.L,Start.time,Stop.time,Light_Dark,Light_Level,Light_Value,Notes
20201004,ACR-247_20200104,ACR-247,ACR-247,4,6,1,1,Acropora,Site2,1,Sample,28.5,0.615,11:00,11:12,Dark,1,0,
20201004,POC-219_20200104,POC-219,POC-219,6,3,2,1,Pocillopora,Site2,2,Sample,28.5,0.605,11:00,11:12,Dark,1,0,
20201004,POR-242_20200104,POR-242,POR-242,8,1,2,1,Porites,Site2,3,Sample,28.5,0.595,11:00,11:12,Dark,1,0,
20201004,ACR-243_20200104,ACR-243,ACR-243,5,4,2,1,Acropora,Site2,4,Sample,28.5,0.62,11:00,11:12,Dark,1,0,
20201004,BK-1_20200104,BK-1,BK-1,10,5,2,1,BK,Site2,NA,Blank,28.5,0.605,11:00,11:12,Dark,1,0,
20201004,POR-262_20200104,POR-262,POR-262,2,7,1,1,Acropora,Site2,5,Sample,28.5,0.59,11:00,11:12,Dark,1,0,
20201004,POR-214_20200104,POR-214,POR-214,7,10,1,1,Porites,Site2,6,Sample,28.5,0.615,11:00,11:12,Dark,1,0,
20201004,POR-221_20200104,POR-221,POR-221,9,9,1,1,Porites,Site2,7,Sample,28.5,0.59,11:00,11:12,Dark,1,0,
20201004,POC-254_20200104,POC-254,POC-254,3,11,1,1,Pocillopora,Site2,8,Sample,28.5,0.615,11:00,11:12,Dark,1,0,
20201004,POC-239_20200104,POC-239,POC-239,1,12,1,1,Pocillopora,Site2,9,Sample,28.5,0.6,11:00,11:12,Dark,1,0,
20201004,ACR-247_20200104,ACR-247,ACR-247,4,6,1,1,Acropora,Site2,1,Sample,28.5,0.615,11:19,11:29,Light,2,26,
20201004,POC-219_20200104,POC-219,POC-219,6,3,2,1,Pocillopora,Site2,2,Sample,28.5,0.605,11:19,11:29,Light,2,26,
20201004,POR-242_20200104,POR-242,POR-242,8,1,2,1,Porites,Site2,3,Sample,28.5,0.595,11:19,11:29,Light,2,26,
20201004,ACR-243_20200104,ACR-243,ACR-243,5,4,2,1,Acropora,Site2,4,Sample,28.5,0.62,11:19,11:29,Light,2,26,
20201004,BK-1_20200104,BK-1,BK-1,10,5,2,1,BK,Site2,NA,Blank,28.5,0.605,11:19,11:29,Light,2,26,
20201004,POR-262_20200104,POR-262,POR-262,2,7,1,1,Acropora,Site2,5,Sample,28.5,0.59,11:19,11:29,Light,2,26,
20201004,POR-214_20200104,POR-214,POR-214,7,10,1,1,Porites,Site2,6,Sample,28.5,0.615,11:19,11:29,Light,2,26,
20201004,POR-221_20200104,POR-221,POR-221,9,9,1,1,Porites,Site2,7,Sample,28.5,0.59,11:19,11:29,Light,2,26,
20201004,POC-254_20200104,POC-254,POC-254,3,11,1,1,Pocillopora,Site2,8,Sample,28.5,0.615,11:19,11:29,Light,2,26,
20201004,POC-239_20200104,POC-239,POC-239,1,12,1,1,Pocillopora,Site2,9,Sample,28.5,0.6,11:19,11:29,Light,2,26,
