colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-139,9883.867430674316,581.4959441470692,timepoint1
ACR-140,9557.8463350326,391.1590476159455,timepoint1
ACR-145,3915.358818189551,308.9661784583242,timepoint1
ACR-150,18003.88183065902,557.2874956351883,timepoint1
ACR-165,5515.639437286988,377.5934763876761,timepoint1
ACR-173,10926.108635889177,476.55954531965904,timepoint1
ACR-175,5576.920240240221,413.6615735766133,timepoint1
ACR-176,29216.80262339849,566.2970452919616,timepoint1
ACR-180,7287.129854850389,474.2794599920178,timepoint1
ACR-185,6547.097155124784,421.540096684765,timepoint1
ACR-186,8108.941980102045,315.7043205656063,timepoint1
ACR-187,14035.97132898755,388.40078289540077,timepoint1
ACR-190,11864.32616244796,618.2792429090327,timepoint1
ACR-193,10638.671893557836,393.4923015020765,timepoint1
ACR-225,12131.416141353591,551.6132732437693,timepoint1
ACR-228,6613.989437343855,286.91464925072006,timepoint1
ACR-229,16316.764827958825,833.4093519577036,timepoint1
ACR-231,13210.411365780423,592.9020201143965,timepoint1
ACR-234,13306.365927933417,515.1288444323925,timepoint1
ACR-237,10685.535378928493,506.26041060867306,timepoint1
ACR-243,13506.03848934798,613.6324767660499,timepoint1
ACR-244,8223.73241996082,617.1414651944738,timepoint1
ACR-246,13485.395219969612,322.40182661802476,timepoint1
ACR-247,8751.36190122168,500.2475638167954,timepoint1
ACR-256,14696.24915647396,554.0339955553684,timepoint1
ACR-258,14899.3304343743,925.1628600797656,timepoint1
ACR-265,11510.856757154796,349.9448834383523,timepoint1
ACR-343,12553.263906890033,423.34870606383646,timepoint1
ACR-345,7079.706979612887,349.21699325317655,timepoint1
ACR-350,16786.40482421761,354.0408223770472,timepoint1
ACR-351,6008.511299049507,280.0172312452925,timepoint1
ACR-364,16707.133733014758,693.4075112446055,timepoint1
ACR-368,7533.756435305625,430.64649201910026,timepoint1
ACR-374,11944.400973712945,415.9727812129555,timepoint1
ACR-379,14045.610200555599,359.8530472016557,timepoint1
ACR-389,8310.517822767328,345.71455502536594,timepoint1
ACR-390,7346.324968090478,292.2586155068849,timepoint1
ACR-393,9936.165039010277,341.4493103391237,timepoint1
ACR-396,16722.586462582003,484.49359348827494,timepoint1
ACR-51,6571.598931429178,357.20558815013976,timepoint1
POC-200,26071.55083510824,581.1241043672701,timepoint1
POC-201,23536.578452568985,486.1851512001113,timepoint1
POC-205,17459.86956896152,639.7055388521375,timepoint1
POC-207,13576.234323892728,396.8509703328652,timepoint1
POC-217,19750.182294751467,539.6244053189189,timepoint1
POC-219,13686.258280394402,370.427012872707,timepoint1
POC-222,21968.632982592466,504.39546873982124,timepoint1
POC-238,12937.375645852353,487.7262112771662,timepoint1
POC-239,12038.705195387007,246.9067285053761,timepoint1
POC-248,10303.261825650388,545.6202922641755,timepoint1
POC-254,13500.496923969939,416.2794855650353,timepoint1
POC-255,19376.234113096263,343.5476208208787,timepoint1
POC-346,15013.525141304723,371.42856575314903,timepoint1
POC-358,17879.439445414006,458.07698453963974,timepoint1
POC-359,12280.135613095623,466.1846010016293,timepoint1
POC-366,24632.659054321302,214.6450159052763,timepoint1
POC-369,24686.003878377072,419.601074342538,timepoint1
POC-371,15494.154439634018,400.35015527726955,timepoint1
POC-372,12413.956836957559,480.58104480888164,timepoint1
POC-375,12425.946940699807,376.01755287831827,timepoint1
POC-377,23550.077686248595,344.55001024280335,timepoint1
POC-378,39033.4942992592,692.077935297664,timepoint1
POC-386,17062.6366346977,569.8824179568035,timepoint1
POC-391,18344.712653237042,381.6777589543851,timepoint1
POC-394,11771.007546737585,432.4292635817076,timepoint1
POC-395,17672.152680932966,460.595850345914,timepoint1
POC-40,14115.620913070736,541.9389310552232,timepoint1
POC-41,42115.13974299789,721.6053633932538,timepoint1
POC-42,28667.123361966995,526.7718786309865,timepoint1
POC-43,20660.17722109062,661.4146282451098,timepoint1
POC-44,14453.880096723748,538.758651109842,timepoint1
POC-45,11089.506942350967,443.19470217648416,timepoint1
POC-47,24033.101374743295,413.4344759415764,timepoint1
POC-48,17318.688493236765,565.8940371065165,timepoint1
POC-50,24110.029943222955,565.2837615852118,timepoint1
POC-52,23368.873537651274,527.0033596307617,timepoint1
POC-53,12599.494984717903,483.6660283492884,timepoint1
POC-56,11457.484619870678,646.0834656051393,timepoint1
POC-57,20553.43052240191,487.93630505594285,timepoint1
POC-68,18659.76031192747,734.7253732774911,timepoint1
POR-209,28773.59055146983,2559.642735302014,timepoint1
POR-214,11418.389158405347,1407.0983593145374,timepoint1
POR-216,14239.171328082411,1519.2731996725374,timepoint1
POR-221,20929.356259330743,1492.791709351956,timepoint1
POR-224,19654.122478410543,1597.7978763135188,timepoint1
POR-235,78998.76985060831,3326.7022193461225,timepoint1
POR-236,21920.984324942867,1689.0692654293434,timepoint1
POR-240,29217.808401585375,2361.945048565649,timepoint1
POR-242,47128.13599399518,2591.0498644542777,timepoint1
POR-245,33861.48093346557,1935.5985428771073,timepoint1
POR-251,24263.68636900284,1401.4376681035092,timepoint1
POR-253,51839.94758130972,1889.484357869859,timepoint1
POR-260,72970.1921276706,2044.1727912739557,timepoint1
POR-262,115684.1562579429,2442.2120641333454,timepoint1
POR-266,17956.439279924834,803.155681727503,timepoint1
POR-338,99693.05814360897,3338.212547386591,timepoint1
POR-340,45975.521525165386,3639.9631065883914,timepoint1
POR-341,116221.75703362486,11019.94037197077,timepoint1
POR-353,103365.76222173011,3229.420408298094,timepoint1
POR-354,46287.05707593724,1088.97143320654,timepoint1
POR-355,66544.26488010811,2799.7755507202737,timepoint1
POR-357,64094.36088656206,4938.63840492079,timepoint1
POR-362,127044.50400157695,4377.81460898758,timepoint1
POR-365,30026.426032110034,2186.056691464991,timepoint1
POR-381,14496.927500972139,862.9480296369039,timepoint1
POR-383,49677.423530899396,3727.9906956276855,timepoint1
POR-384,84023.12036347164,4369.160390971658,timepoint1
POR-385,27654.961374097984,2189.492055261282,timepoint1
POR-69,36542.76535709271,2643.0951576575208,timepoint1
POR-70,99410.63764001573,3741.8020608412303,timepoint1
POR-71,74112.16682039459,3868.4701472803076,timepoint1
POR-72,48650.55791303728,1954.642600999699,timepoint1
POR-73,84562.44221345437,5010.89132490848,timepoint1
POR-74,58355.12056094414,2782.615682163547,timepoint1
POR-75,50056.09433467975,3180.9260041314337,timepoint1
POR-76,41141.25829544503,2419.467925696492,timepoint1
POR-77,87635.27344693855,6322.670060948809,timepoint1
POR-78,89650.16507299032,3462.7071456161357,timepoint1
POR-79,101995.45072749445,3247.943226229603,timepoint1
POR-80,87230.84405719826,6648.4039444514565,timepoint1
POR-81,29720.072723544075,2559.984522384186,timepoint1
POR-82,50053.66489495989,4168.027085526239,timepoint1
POR-83,67359.70752052373,4335.0695624416185,timepoint1
