Date,site,species,colony_id,Notes
,site1,Acropora,ACR-139,
,site1,Acropora,ACR-140,
,site1,Acropora,ACR-145,
,site1,Acropora,ACR-150,now ACR-54
,site1,Acropora,ACR-173,
,site1,Acropora,ACR-175,
,site1,Acropora,ACR-176,
,site1,Acropora,ACR-178,
,site1,Acropora,ACR-180,
,site1,Acropora,ACR-185,
,site1,Acropora,ACR-186,
,site1,Acropora,ACR-187,
,site1,Acropora,ACR-190,
,site1,Pocillopora,POC-40,
,site1,Pocillopora,POC-42,
,site1,Pocillopora,POC-43,
,site1,Pocillopora,POC-44,
,site1,Pocillopora,POC-45,
,site1,Pocillopora,POC-47,
,site1,Pocillopora,POC-48,
,site1,Pocillopora,POC-52,
,site1,Pocillopora,POC-53,
,site1,Pocillopora,POC-55,Now POC-65
,site1,Pocillopora,POC-57,
,site1,Pocillopora,POC-68,
,site1,Porites,POR-69,
,site1,Porites,POR-70,
,site1,Porites,POR-71,Now POR-38
,site1,Porites,POR-72,
,site1,Porites,POR-73,
,site1,Porites,POR-74,
,site1,Porites,POR-75,Now POR-98
,site1,Porites,POR-76,
,site1,Porites,POR-79,
,site1,Porites,POR-80,
,site1,Porites,POR-81,
,site1,Porites,POR-82,Now POR-62
,site1,Porites,POR-83,
,site2,Acropora,ACR-210,
,site2,Acropora,ACR-213,
,site2,Acropora,ACR-218,
,site2,Acropora,ACR-220,
,site2,Acropora,ACR-225,
,site2,Acropora,ACR-228,
,site2,Acropora,ACR-229,
,site2,Acropora,ACR-231,
,site2,Acropora,ACR-234,
,site2,Acropora,ACR-237,
,site2,Acropora,ACR-241,
,site2,Acropora,ACR-244,
,site2,Acropora,ACR-246,
,site2,Acropora,ACR-256,
,site2,Acropora,ACR-258,
,site2,Acropora,ACR-267,
,site2,Pocillopora,POC-200,
,site2,Pocillopora,POC-201,now POC-272
,site2,Pocillopora,POC-205,
,site2,Pocillopora,POC-207,
,site2,Pocillopora,POC-219,
,site2,Pocillopora,POC-222,
,site2,Pocillopora,POC-238,
,site2,Pocillopora,POC-239,
,site2,Pocillopora,POC-248,
,site2,Pocillopora,POC-254,
,site2,Pocillopora,POC-255,
,site2,Pocillopora,POC-257,
,site2,Pocillopora,POC-259,
,site2,Porites,POR-209,
,site2,Porites,POR-214,Now POR-271
,site2,Porites,POR-216,
,site2,Porites,POR-221,
,site2,Porites,POR-224,Now POR-204
,site2,Porites,POR-240,
,site2,Porites,POR-242,
,site2,Porites,POR-245,Now POR-298
,site2,Porites,POR-251,
,site2,Porites,POR-253,Now POR-299
,site2,Porites,POR-260,
,site2,Porites,POR-262,
,site3,Acropora,ACR-343,
,site3,Acropora,ACR-364,
,site3,Acropora,ACR-368,
,site3,Acropora,ACR-370,
,site3,Acropora,ACR-374,
,site3,Acropora,ACR-379,
,site3,Acropora,ACR-390,
,site3,Acropora,ACR-393,
,site3,Pocillopora,POC-358,
,site3,Pocillopora,POC-359,
,site3,Pocillopora,POC-366,
,site3,Pocillopora,POC-369,
,site3,Pocillopora,POC-371,
,site3,Pocillopora,POC-372,
,site3,Pocillopora,POC-373,
,site3,Pocillopora,POC-375,Now POC-300
,site3,Pocillopora,POC-377,
,site3,Pocillopora,POC-378,
,site3,Pocillopora,POC-386,
,site3,Pocillopora,POC-391,
,site3,Pocillopora,POC-395,
,site3,Porites,POR-338,
,site3,Porites,POR-340,Now POR-397
,site3,Porites,POR-341,
,site3,Porites,POR-349,
,site3,Porites,POR-353,
,site3,Porites,POR-354,Now POR-399
,site3,Porites,POR-355,Now POR-39
,site3,Porites,POR-357,
,site3,Porites,POR-362,
,site3,Porites,POR-365,
,site3,Porites,POR-367,Now POR-398
,site3,Porites,POR-381,
,site3,Porites,POR-383,
,site3,Porites,POR-384,
,site3,Porites,POR-387,
